 Jspace =            1
    Gas temperature (K)  0.11E+02
 Total H density (cm-3)  0.20E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.00000000D+00  0.29221434D-04  0.52196927D-04  0.70766960D-04  0.86074559D-04  0.98823658D-04  0.10949230D-03  0.11843174D-03  0.12591761D-03  0.13217747D-03  0.13740510D-03  0.14540942D-03  0.14845332D-03  0.15100328D-03  0.15495243D-03  0.15648146D-03  0.15888830D-03  0.16064994D-03  0.16247654D-03  0.16331936D-03  0.16420444D-03  0.16477238D-03  0.16512486D-03  0.16537135D-03  0.16545251D-03  0.16541508D-03  0.16529028D-03  0.16508207D-03  0.16484435D-03  0.16455277D-03  0.16421483D-03  0.16387804D-03  0.16346170D-03  0.16305137D-03  0.16256689D-03  0.16205120D-03  0.16150553D-03  0.16089287D-03  0.16021581D-03  0.15951306D-03  0.15874825D-03  0.15788660D-03  0.15696474D-03  0.15591166D-03  0.15479555D-03  0.15357640D-03  0.15217519D-03  0.15061054D-03  0.14885876D-03  0.14681253D-03  0.14446803D-03  0.14170126D-03  0.13847039D-03  0.13475351D-03  0.13041090D-03  0.12552582D-03  0.12012968D-03  0.11424776D-03  0.10800016D-03  0.10150287D-03  0.94949976D-04  0.88544053D-04  0.82445789D-04  0.76754779D-04  0.71648861D-04  0.67171972D-04  0.63398156D-04  0.60366342D-04  0.58036373D-04  0.56253278D-04  0.54852178D-04  0.53760016D-04  0.52948376D-04  0.52360597D-04  0.51922764D-04  0.51566553D-04  0.51246282D-04  0.50936052D-04  0.50624548D-04  0.50307670D-04  0.49986425D-04  0.49661676D-04  0.49335051D-04  0.49008109D-04  0.48681802D-04  0.48358180D-04  0.48039664D-04  0.47730461D-04  0.47436455D-04  0.47165411D-04  0.46926171D-04  0.46726888D-04  0.46572593D-04  0.46463375D-04  0.46393675D-04  0.46353992D-04  0.46333956D-04  0.46325022D-04  0.46321517D-04  0.46320315D-04  0.46319957D-04  0.46319888D-04  0.46319850D-04  0.46319843D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04  0.46319842D-04
C           0.00000000D+00  0.53186187D-04  0.82254996D-04  0.10017172D-03  0.11211367D-03  0.12049410D-03  0.12658700D-03  0.13112752D-03  0.13456990D-03  0.13721120D-03  0.13925509D-03  0.14209239D-03  0.14307169D-03  0.14384463D-03  0.14494313D-03  0.14533007D-03  0.14588262D-03  0.14622733D-03  0.14649512D-03  0.14656186D-03  0.14654733D-03  0.14643131D-03  0.14623912D-03  0.14589380D-03  0.14547610D-03  0.14489294D-03  0.14427754D-03  0.14352544D-03  0.14277003D-03  0.14188711D-03  0.14087500D-03  0.13985865D-03  0.13858165D-03  0.13729724D-03  0.13574642D-03  0.13405524D-03  0.13222204D-03  0.13011336D-03  0.12772602D-03  0.12519160D-03  0.12237680D-03  0.11914741D-03  0.11564041D-03  0.11159213D-03  0.10728385D-03  0.10259892D-03  0.97301738D-04  0.91575293D-04  0.85486597D-04  0.78881715D-04  0.72013379D-04  0.64811455D-04  0.57476089D-04  0.50211110D-04  0.42980464D-04  0.36104515D-04  0.29708147D-04  0.23856084D-04  0.18655763D-04  0.14145725D-04  0.10364315D-04  0.72979271D-05  0.48814750D-05  0.30258372D-05  0.16835733D-05  0.79869518D-06  0.33533273D-06  0.15886358D-06  0.91338480D-07  0.57604692D-07  0.37845035D-07  0.25215485D-07  0.16826653D-07  0.11213684D-07  0.74999854D-08  0.50761172D-08  0.35247413D-08  0.25472277D-08  0.19360131D-08  0.15496862D-08  0.12988028D-08  0.11273706D-08  0.10031757D-08  0.90811011D-09  0.83207655D-09  0.76967774D-09  0.71783397D-09  0.67488753D-09  0.63993558D-09  0.61251473D-09  0.59227239D-09  0.57859144D-09  0.57028050D-09  0.56567516D-09  0.56319827D-09  0.56184421D-09  0.56111912D-09  0.56076421D-09  0.56061151D-09  0.56055442D-09  0.56053580D-09  0.56053180D-09  0.56052936D-09  0.56052874D-09  0.56052859D-09  0.56052855D-09  0.56052854D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09  0.56052853D-09
Fe          0.00000000D+00  0.36727790D-10  0.36758117D-10  0.36947084D-10  0.37366332D-10  0.38090374D-10  0.39170732D-10  0.40619356D-10  0.42402676D-10  0.44449071D-10  0.46667060D-10  0.51279766D-10  0.53565192D-10  0.55815115D-10  0.60306862D-10  0.62645076D-10  0.67833857D-10  0.74220896D-10  0.87557959D-10  0.10006158D-09  0.12624230D-09  0.16355166D-09  0.21355820D-09  0.29899030D-09  0.39835723D-09  0.52268959D-09  0.62817195D-09  0.72166148D-09  0.78671112D-09  0.84108473D-09  0.88783610D-09  0.92537622D-09  0.96446548D-09  0.99789853D-09  0.10331260D-08  0.10673186D-08  0.11011588D-08  0.11374499D-08  0.11764479D-08  0.12164159D-08  0.12598207D-08  0.13089035D-08  0.13616868D-08  0.14220867D-08  0.14856468D-08  0.15535957D-08  0.16283611D-08  0.17058778D-08  0.17835335D-08  0.18611647D-08  0.19336748D-08  0.20000272D-08  0.20570721D-08  0.21030630D-08  0.21386900D-08  0.21635680D-08  0.21792158D-08  0.21873239D-08  0.21889723D-08  0.21842583D-08  0.21719523D-08  0.21497264D-08  0.21144993D-08  0.20625675D-08  0.19917022D-08  0.19002890D-08  0.17892467D-08  0.16575090D-08  0.14965884D-08  0.13030286D-08  0.10892256D-08  0.88120789D-09  0.70510287D-09  0.57269567D-09  0.48277734D-09  0.42674760D-09  0.39485894D-09  0.37857923D-09  0.37165483D-09  0.36998483D-09  0.37111844D-09  0.37366458D-09  0.37686875D-09  0.38033101D-09  0.38384782D-09  0.38730052D-09  0.39061354D-09  0.39371767D-09  0.39654569D-09  0.39903194D-09  0.40112142D-09  0.40278163D-09  0.40401310D-09  0.40485222D-09  0.40536949D-09  0.40565456D-09  0.40579413D-09  0.40585452D-09  0.40587746D-09  0.40588499D-09  0.40588707D-09  0.40588743D-09  0.40588759D-09  0.40588760D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09  0.40588759D-09
Mg          0.00000000D+00  0.29901695D-09  0.29951937D-09  0.30071318D-09  0.30291699D-09  0.30647404D-09  0.31163177D-09  0.31846029D-09  0.32682184D-09  0.33640236D-09  0.34679132D-09  0.36842823D-09  0.37913284D-09  0.38961157D-09  0.41012094D-09  0.42046056D-09  0.44241594D-09  0.46778556D-09  0.51697009D-09  0.56035776D-09  0.64648029D-09  0.76269516D-09  0.91125695D-09  0.11534424D-08  0.14237038D-08  0.17516708D-08  0.20257540D-08  0.22699104D-08  0.24439872D-08  0.25948757D-08  0.27300622D-08  0.28427275D-08  0.29639073D-08  0.30703173D-08  0.31844636D-08  0.32962324D-08  0.34066463D-08  0.35236063D-08  0.36464735D-08  0.37685861D-08  0.38964548D-08  0.40351430D-08  0.41777334D-08  0.43333944D-08  0.44895724D-08  0.46489624D-08  0.48163937D-08  0.49821283D-08  0.51407723D-08  0.52922406D-08  0.54271235D-08  0.55443796D-08  0.56394688D-08  0.57109196D-08  0.57613235D-08  0.57918577D-08  0.58065621D-08  0.58093443D-08  0.58028388D-08  0.57876062D-08  0.57617492D-08  0.57213324D-08  0.56611029D-08  0.55747432D-08  0.54579893D-08  0.53063259D-08  0.51166559D-08  0.48781805D-08  0.45644048D-08  0.41585757D-08  0.36802787D-08  0.31862176D-08  0.27385193D-08  0.23732269D-08  0.21020040D-08  0.19169467D-08  0.18011261D-08  0.17344715D-08  0.16992278D-08  0.16822004D-08  0.16749933D-08  0.16726971D-08  0.16726919D-08  0.16736371D-08  0.16748716D-08  0.16760682D-08  0.16770600D-08  0.16777566D-08  0.16781191D-08  0.16781582D-08  0.16779355D-08  0.16775520D-08  0.16771210D-08  0.16767344D-08  0.16764421D-08  0.16762516D-08  0.16761438D-08  0.16760902D-08  0.16760667D-08  0.16760573D-08  0.16760539D-08  0.16760530D-08  0.16760524D-08  0.16760522D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08  0.16760521D-08
S           0.00000000D+00  0.19796858D-08  0.21285638D-08  0.23062742D-08  0.25078526D-08  0.27330260D-08  0.29818243D-08  0.32518437D-08  0.35378865D-08  0.38328407D-08  0.41290764D-08  0.47001851D-08  0.49675048D-08  0.52213469D-08  0.56953424D-08  0.59216068D-08  0.63717766D-08  0.68454524D-08  0.76659626D-08  0.83256377D-08  0.95406354D-08  0.11072819D-07  0.12937425D-07  0.15864823D-07  0.19068578D-07  0.22992814D-07  0.26439619D-07  0.29823669D-07  0.32561500D-07  0.35212736D-07  0.37762080D-07  0.39938507D-07  0.42256673D-07  0.44222121D-07  0.46215394D-07  0.48022968D-07  0.49653844D-07  0.51212725D-07  0.52676903D-07  0.53980228D-07  0.55214203D-07  0.56438774D-07  0.57611764D-07  0.58829476D-07  0.60015092D-07  0.61210272D-07  0.62467739D-07  0.63730031D-07  0.64970968D-07  0.66207293D-07  0.67380880D-07  0.68499809D-07  0.69533892D-07  0.70464244D-07  0.71307081D-07  0.72038227D-07  0.72659571D-07  0.73177091D-07  0.73591027D-07  0.73906641D-07  0.74128694D-07  0.74263828D-07  0.74314098D-07  0.74259922D-07  0.74024157D-07  0.73381712D-07  0.71862483D-07  0.68985204D-07  0.64872551D-07  0.60394113D-07  0.56856121D-07  0.55026440D-07  0.54253829D-07  0.53500972D-07  0.52354760D-07  0.50795988D-07  0.48886741D-07  0.46701197D-07  0.44334917D-07  0.41887177D-07  0.39458636D-07  0.37115126D-07  0.34899581D-07  0.32832833D-07  0.30918397D-07  0.29158830D-07  0.27554097D-07  0.26109554D-07  0.24833770D-07  0.23737959D-07  0.22832176D-07  0.22120412D-07  0.21595821D-07  0.21238919D-07  0.21017999D-07  0.20895026D-07  0.20833924D-07  0.20806979D-07  0.20796493D-07  0.20792920D-07  0.20791864D-07  0.20791660D-07  0.20791552D-07  0.20791531D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07  0.20791527D-07
Si          0.00000000D+00  0.16315113D-09  0.17514118D-09  0.18943256D-09  0.20639769D-09  0.22641608D-09  0.24974490D-09  0.27643016D-09  0.30627459D-09  0.33887554D-09  0.37371778D-09  0.44816115D-09  0.48707397D-09  0.52692124D-09  0.60971966D-09  0.65308111D-09  0.74521113D-09  0.84683850D-09  0.10232174D-08  0.11606263D-08  0.14020278D-08  0.16897763D-08  0.20235051D-08  0.25264540D-08  0.30630724D-08  0.37192864D-08  0.43092202D-08  0.49073229D-08  0.53921967D-08  0.58319044D-08  0.61962695D-08  0.64500854D-08  0.66644957D-08  0.68087035D-08  0.69278539D-08  0.70177332D-08  0.70869601D-08  0.71441355D-08  0.71904707D-08  0.72257700D-08  0.72537721D-08  0.72759544D-08  0.72916359D-08  0.73020199D-08  0.73064990D-08  0.73057132D-08  0.72995289D-08  0.72880658D-08  0.72716788D-08  0.72499859D-08  0.72237583D-08  0.71925558D-08  0.71567856D-08  0.71167546D-08  0.70708796D-08  0.70188411D-08  0.69580137D-08  0.68829770D-08  0.67852698D-08  0.66500699D-08  0.64549743D-08  0.61665062D-08  0.57351852D-08  0.50895170D-08  0.41702036D-08  0.29969757D-08  0.18762055D-08  0.11870220D-08  0.85519849D-09  0.68930949D-09  0.59939621D-09  0.54126447D-09  0.49216454D-09  0.44626621D-09  0.40419961D-09  0.36647383D-09  0.33317518D-09  0.30406497D-09  0.27880625D-09  0.25693490D-09  0.23806925D-09  0.22174320D-09  0.20756181D-09  0.19517613D-09  0.18427621D-09  0.17464815D-09  0.16613229D-09  0.15864552D-09  0.15215412D-09  0.14666082D-09  0.14217864D-09  0.13870191D-09  0.13617983D-09  0.13450428D-09  0.13350812D-09  0.13299225D-09  0.13276845D-09  0.13269435D-09  0.13268242D-09  0.13268900D-09  0.13269709D-09  0.13270063D-09  0.13270424D-09  0.13270588D-09  0.13270652D-09  0.13270674D-09  0.13270680D-09  0.13270682D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09  0.13270683D-09
O           0.24000000D-03  0.23871536D-03  0.23728363D-03  0.23604091D-03  0.23495502D-03  0.23399939D-03  0.23315379D-03  0.23240245D-03  0.23173275D-03  0.23113428D-03  0.23059823D-03  0.22968386D-03  0.22929290D-03  0.22893882D-03  0.22832308D-03  0.22805361D-03  0.22757558D-03  0.22716212D-03  0.22663020D-03  0.22631862D-03  0.22589670D-03  0.22551354D-03  0.22515682D-03  0.22470863D-03  0.22428157D-03  0.22376848D-03  0.22327270D-03  0.22269397D-03  0.22212578D-03  0.22146867D-03  0.22071927D-03  0.21996844D-03  0.21902607D-03  0.21807866D-03  0.21693475D-03  0.21568682D-03  0.21433303D-03  0.21277389D-03  0.21100568D-03  0.20912442D-03  0.20702953D-03  0.20461835D-03  0.20198993D-03  0.19894222D-03  0.19568178D-03  0.19211502D-03  0.18805299D-03  0.18362286D-03  0.17886181D-03  0.17362857D-03  0.16809774D-03  0.16218284D-03  0.15601232D-03  0.14972311D-03  0.14324235D-03  0.13681264D-03  0.13051402D-03  0.12437082D-03  0.11845810D-03  0.11279271D-03  0.10741940D-03  0.10236151D-03  0.97608160D-04  0.93121266D-04  0.88954513D-04  0.85065977D-04  0.81389857D-04  0.77829880D-04  0.74412073D-04  0.71195533D-04  0.68195484D-04  0.65413066D-04  0.62822134D-04  0.60377149D-04  0.58057116D-04  0.55838045D-04  0.53704845D-04  0.51641104D-04  0.49634997D-04  0.47672193D-04  0.45750365D-04  0.43861449D-04  0.42003158D-04  0.40175139D-04  0.38376015D-04  0.36612563D-04  0.34895469D-04  0.33246575D-04  0.31697356D-04  0.30288604D-04  0.29064540D-04  0.28062505D-04  0.27300613D-04  0.26770433D-04  0.26436779D-04  0.26248670D-04  0.26154272D-04  0.26112338D-04  0.26095933D-04  0.26090325D-04  0.26088665D-04  0.26088345D-04  0.26088174D-04  0.26088141D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04  0.26088136D-04
N           0.62000000D-04  0.61949891D-04  0.61916698D-04  0.61897546D-04  0.61884307D-04  0.61873658D-04  0.61864310D-04  0.61855799D-04  0.61847984D-04  0.61840836D-04  0.61834346D-04  0.61823224D-04  0.61818484D-04  0.61814197D-04  0.61806697D-04  0.61803358D-04  0.61797260D-04  0.61791715D-04  0.61784071D-04  0.61779272D-04  0.61772350D-04  0.61765617D-04  0.61758954D-04  0.61750050D-04  0.61741043D-04  0.61729636D-04  0.61718136D-04  0.61704308D-04  0.61690529D-04  0.61674637D-04  0.61656825D-04  0.61639383D-04  0.61617970D-04  0.61596821D-04  0.61571599D-04  0.61544296D-04  0.61514768D-04  0.61480733D-04  0.61441949D-04  0.61400340D-04  0.61353460D-04  0.61298648D-04  0.61237707D-04  0.61165307D-04  0.61085585D-04  0.60995461D-04  0.60888842D-04  0.60767399D-04  0.60630491D-04  0.60471843D-04  0.60294171D-04  0.60091714D-04  0.59865190D-04  0.59615868D-04  0.59336009D-04  0.59030475D-04  0.58697687D-04  0.58332579D-04  0.57932479D-04  0.57490885D-04  0.57003129D-04  0.56462466D-04  0.55855022D-04  0.55152602D-04  0.54326906D-04  0.53325168D-04  0.52109148D-04  0.50676660D-04  0.49074110D-04  0.47364097D-04  0.45591452D-04  0.43778668D-04  0.41916177D-04  0.39976642D-04  0.37951464D-04  0.35829967D-04  0.33609552D-04  0.31287319D-04  0.28866948D-04  0.26351367D-04  0.23762684D-04  0.21121540D-04  0.18463381D-04  0.15833742D-04  0.13281914D-04  0.10869391D-04  0.86561501D-05  0.67007464D-05  0.50483921D-05  0.37243825D-05  0.27279859D-05  0.20310762D-05  0.15824386D-05  0.13189713D-05  0.11783705D-05  0.11102477D-05  0.10802871D-05  0.10683601D-05  0.10640859D-05  0.10627207D-05  0.10623366D-05  0.10622650D-05  0.10622276D-05  0.10622206D-05  0.10622196D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05  0.10622194D-05
He          0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
